# combo=loongarch-glibc
# source=/mnt/d/OS/F7LY/tools/ltp/judge/v1/outputs/loongarch-glibc/parsed.tsv

Combo            | Case Name                | TPASS  | Summary    | Status       | End   
loongarch-glibc  | kcmp02                   | 6      | yes/6      | PASS         | 0     
loongarch-glibc  | lstat02                  | 6      | yes/6      | PASS         | 0     
loongarch-glibc  | lstat02_64               | 6      | yes/6      | PASS         | 0     
loongarch-glibc  | name_to_handle_at02      | 6      | yes/6      | PASS         | 0     
loongarch-glibc  | pipe12                   | 6      | yes/6      | PASS         | 0     
loongarch-glibc  | posix_fadvise01          | 6      | yes/6      | PASS         | 0     
loongarch-glibc  | posix_fadvise01_64       | 6      | yes/6      | PASS         | 0     
loongarch-glibc  | posix_fadvise02          | 6      | yes/6      | PASS         | 0     
loongarch-glibc  | posix_fadvise02_64       | 6      | yes/6      | PASS         | 0     
loongarch-glibc  | posix_fadvise04          | 6      | yes/6      | PASS         | 0     
loongarch-glibc  | posix_fadvise04_64       | 6      | yes/6      | PASS         | 0     
loongarch-glibc  | preadv201                | 6      | yes/6      | PASS         | 0     
loongarch-glibc  | preadv201_64             | 6      | yes/6      | PASS         | 0     
loongarch-glibc  | pwritev201               | 6      | yes/6      | PASS         | 0     
loongarch-glibc  | pwritev201_64            | 6      | yes/6      | PASS         | 0     
loongarch-glibc  | readlinkat02             | 6      | yes/6      | PASS         | 0     
loongarch-glibc  | sched_get_priority_max01 | 6      | yes/6      | PASS         | 0     
loongarch-glibc  | sched_get_priority_min01 | 6      | yes/6      | PASS         | 0     
loongarch-glibc  | sched_getparam03         | 6      | yes/6      | PASS         | 0     
loongarch-glibc  | shmctl08                 | 6      | yes/6      | PASS         | 0     
loongarch-glibc  | signal01                 | 6      | yes/6      | PASS         | 0     
loongarch-glibc  | statfs02                 | 6      | yes/6      | PASS         | 0     
loongarch-glibc  | statfs02_64              | 6      | yes/6      | PASS         | 0     
loongarch-glibc  | tgkill03                 | 6      | yes/6      | PASS         | 0     
loongarch-glibc  | timerfd02                | 6      | yes/6      | PASS         | 0     
loongarch-glibc  | unlink07                 | 6      | yes/6      | PASS         | 0     
loongarch-glibc  | waitid05                 | 6      | yes/6      | PASS         | 0     
loongarch-glibc  | waitid06                 | 6      | yes/6      | PASS         | 0     
loongarch-glibc  | writev01                 | 6      | yes/6      | PASS         | 0     
loongarch-glibc  | kill11                   | 5      | yes/6      | TIMEOUT      | 124   
loongarch-glibc  | capget02                 | 5      | yes/5      | PASS         | 0     
loongarch-glibc  | chroot03                 | 5      | yes/5      | PASS         | 0     
loongarch-glibc  | epoll_wait03             | 5      | yes/5      | PASS         | 0     
loongarch-glibc  | epoll_wait07             | 5      | yes/5      | PASS         | 0     
loongarch-glibc  | eventfd02                | 5      | yes/5      | PASS         | 0     
loongarch-glibc  | fsync03                  | 5      | yes/5      | PASS         | 0     
loongarch-glibc  | in6_01                   | 5      | yes/5      | PASS         | 0     
loongarch-glibc  | inotify04                | 5      | yes/5      | PASS         | 0     
loongarch-glibc  | kcmp01                   | 5      | yes/5      | PASS         | 0     
loongarch-glibc  | mallopt01                | 5      | yes/5      | PASS         | 0     
loongarch-glibc  | open07                   | 5      | yes/5      | PASS         | 0     
loongarch-glibc  | openat01                 | 5      | yes/5      | PASS         | 0     
loongarch-glibc  | pwrite02                 | 5      | yes/5      | PASS         | 0     
loongarch-glibc  | pwrite02_64              | 5      | yes/5      | PASS         | 0     
loongarch-glibc  | read02                   | 5      | yes/5      | PASS         | 0     
loongarch-glibc  | readv02                  | 5      | yes/5      | PASS         | 0     
loongarch-glibc  | sendfile04               | 5      | yes/5      | PASS         | 0     
loongarch-glibc  | sendfile04_64            | 5      | yes/5      | PASS         | 0     
loongarch-glibc  | setregid01               | 5      | yes/5      | PASS         | 0     
loongarch-glibc  | statvfs02                | 5      | yes/5      | PASS         | 0     
loongarch-glibc  | statx02                  | 5      | yes/5      | PASS         | 0     
loongarch-glibc  | sync_file_range01        | 5      | yes/5      | PASS         | 0     
loongarch-glibc  | utime07                  | 5      | yes/5      | PASS         | 0     
loongarch-glibc  | waitid01                 | 5      | yes/5      | PASS         | 0     
loongarch-glibc  | waitid07                 | 5      | yes/5      | PASS         | 0     
loongarch-glibc  | waitid10                 | 5      | yes/5      | PASS         | 0     
loongarch-glibc  | waitid11                 | 5      | yes/5      | PASS         | 0     
loongarch-glibc  | select04                 | 4      | yes/7      | PASS         | 0     
loongarch-glibc  | accept01                 | 4      | yes/5      | FAIL         | 1     
loongarch-glibc  | getcwd01                 | 4      | yes/5      | FAIL         | 1     
loongarch-glibc  | sigpending02             | 4      | yes/5      | PASS         | 0     
loongarch-glibc  | clock_nanosleep04        | 4      | yes/4      | PASS         | 0     
loongarch-glibc  | dup201                   | 4      | yes/4      | PASS         | 0     
loongarch-glibc  | dup203                   | 4      | yes/4      | PASS         | 0     
loongarch-glibc  | dup204                   | 4      | yes/4      | PASS         | 0     
loongarch-glibc  | eventfd01                | 4      | yes/4      | PASS         | 0     
loongarch-glibc  | fcntl13                  | 4      | yes/4      | PASS         | 0     
loongarch-glibc  | fcntl13_64               | 4      | yes/4      | PASS         | 0     
loongarch-glibc  | fcntl30                  | 4      | yes/4      | PASS         | 0     
loongarch-glibc  | fcntl30_64               | 4      | yes/4      | PASS         | 0     
loongarch-glibc  | fcntl39                  | 4      | yes/4      | PASS         | 0     
loongarch-glibc  | fcntl39_64               | 4      | yes/4      | PASS         | 0     
loongarch-glibc  | flock06                  | 4      | yes/4      | PASS         | 0     
loongarch-glibc  | ftruncate03              | 4      | yes/4      | PASS         | 0     
loongarch-glibc  | ftruncate03_64           | 4      | yes/4      | PASS         | 0     
loongarch-glibc  | futex_wait01             | 4      | yes/4      | PASS         | 0     
loongarch-glibc  | getpriority02            | 4      | yes/4      | PASS         | 0     
loongarch-glibc  | getrandom01              | 4      | yes/4      | PASS         | 0     
loongarch-glibc  | getrandom02              | 4      | yes/4      | PASS         | 0     
loongarch-glibc  | inotify_init1_01         | 4      | yes/4      | PASS         | 0     
loongarch-glibc  | inotify_init1_02         | 4      | yes/4      | PASS         | 0     
loongarch-glibc  | ioctl_ns07               | 4      | yes/4      | PASS         | 0     
loongarch-glibc  | lseek01                  | 4      | yes/4      | PASS         | 0     
loongarch-glibc  | mmap18                   | 4      | yes/4      | PASS         | 0     
loongarch-glibc  | pidfd_send_signal02      | 4      | yes/4      | PASS         | 0     
loongarch-glibc  | pipe13                   | 4      | yes/4      | PASS         | 0     
loongarch-glibc  | sched_getaffinity01      | 4      | yes/4      | PASS         | 0     
loongarch-glibc  | sched_getparam01         | 4      | yes/4      | PASS         | 0     
loongarch-glibc  | send02                   | 4      | yes/4      | PASS         | 0     
loongarch-glibc  | sendfile03               | 4      | yes/4      | PASS         | 0     
loongarch-glibc  | sendfile03_64            | 4      | yes/4      | PASS         | 0     
loongarch-glibc  | sendmmsg01               | 4      | yes/4      | PASS         | 0     
loongarch-glibc  | sendmmsg02               | 4      | yes/4      | PASS         | 0     
loongarch-glibc  | shmctl03                 | 4      | yes/4      | PASS         | 0     
loongarch-glibc  | shmctl07                 | 4      | yes/4      | PASS         | 0     
loongarch-glibc  | socket02                 | 4      | yes/4      | PASS         | 0     
loongarch-glibc  | socketpair02             | 4      | yes/4      | PASS         | 0     
loongarch-glibc  | timerfd_settime01        | 4      | yes/4      | PASS         | 0     
loongarch-glibc  | waitpid04                | 4      | yes/4      | PASS         | 0     
