combo=riscv-glibc
source=/mnt/d/OS/F7LY/tools/ltp/judge/v1/outputs/riscv-glibc/raw.log

cpuhotplug_do_disk_write_loop | TPASS=0    | Summary=no  | SummaryTotal=0    | Status=FAIL         | End=1
cpuhotplug_do_kcompile_loop | TPASS=0    | Summary=no  | SummaryTotal=0    | Status=FAIL         | End=1
cpuhotplug_do_spin_loop  | TPASS=0    | Summary=no  | SummaryTotal=0    | Status=FAIL         | End=1
cpuhotplug_report_proc_interrupts | TPASS=0    | Summary=no  | SummaryTotal=0    | Status=FAIL         | End=1
cpuset01                 | TPASS=0    | Summary=no  | SummaryTotal=0    | Status=FAIL         | End=32
crash01                  | TPASS=0    | Summary=no  | SummaryTotal=0    | Status=NO_SUMMARY   | End=0
crash02                  | TPASS=0    | Summary=no  | SummaryTotal=0    | Status=NO_SUMMARY   | End=0
creat01                  | TPASS=6    | Summary=yes | SummaryTotal=6    | Status=PASS         | End=0
creat03                  | TPASS=1    | Summary=yes | SummaryTotal=1    | Status=PASS         | End=0
creat04                  | TPASS=0    | Summary=no  | SummaryTotal=0    | Status=FAIL         | End=32
creat05                  | TPASS=1    | Summary=yes | SummaryTotal=1    | Status=PASS         | End=0
creat06                  | TPASS=0    | Summary=no  | SummaryTotal=0    | Status=FAIL         | End=32
creat07                  | TPASS=0    | Summary=yes | SummaryTotal=1    | Status=FAIL         | End=2
creat07_child            | TPASS=0    | Summary=no  | SummaryTotal=0    | Status=FAIL         | End=2
creat08                  | TPASS=0    | Summary=no  | SummaryTotal=0    | Status=FAIL         | End=32
creat09                  | TPASS=0    | Summary=no  | SummaryTotal=0    | Status=FAIL         | End=32
create_datafile          | TPASS=0    | Summary=no  | SummaryTotal=0    | Status=FAIL         | End=3
create_file              | TPASS=0    | Summary=no  | SummaryTotal=0    | Status=FAIL         | End=1
crypto_user01            | TPASS=0    | Summary=yes | SummaryTotal=1    | Status=FAIL         | End=32
crypto_user02            | TPASS=0    | Summary=no  | SummaryTotal=0    | Status=FAIL         | End=32
cve-2014-0196            | TPASS=0    | Summary=yes | SummaryTotal=1    | Status=TIMEOUT      | End=124
cve-2015-3290            | TPASS=0    | Summary=no  | SummaryTotal=0    | Status=FAIL         | End=32
cve-2016-10044           | TPASS=0    | Summary=yes | SummaryTotal=1    | Status=FAIL         | End=32
cve-2016-7042            | TPASS=0    | Summary=yes | SummaryTotal=1    | Status=FAIL         | End=32
cve-2016-7117            | TPASS=0    | Summary=yes | SummaryTotal=1    | Status=TIMEOUT      | End=124
cve-2017-16939           | TPASS=0    | Summary=yes | SummaryTotal=1    | Status=FAIL         | End=32
cve-2017-17052           | TPASS=1    | Summary=yes | SummaryTotal=1    | Status=PASS         | End=0
cve-2017-17053           | TPASS=0    | Summary=no  | SummaryTotal=0    | Status=FAIL         | End=32
cve-2017-2618            | TPASS=1    | Summary=yes | SummaryTotal=1    | Status=PASS         | End=0
cve-2017-2671            | TPASS=0    | Summary=no  | SummaryTotal=0    | Status=FAIL         | End=32
cve-2022-4378            | TPASS=0    | Summary=yes | SummaryTotal=1    | Status=FAIL         | End=32
data                     | TPASS=0    | Summary=no  | SummaryTotal=0    | Status=FAIL         | End=1
data_space               | TPASS=0    | Summary=no  | SummaryTotal=0    | Status=NO_SUMMARY   | End=0
delete_module01          | TPASS=0    | Summary=no  | SummaryTotal=0    | Status=FAIL         | End=32
delete_module02          | TPASS=0    | Summary=no  | SummaryTotal=0    | Status=FAIL         | End=32
delete_module03          | TPASS=0    | Summary=no  | SummaryTotal=0    | Status=FAIL         | End=32
dio_append               | TPASS=1    | Summary=yes | SummaryTotal=1    | Status=PASS         | End=0
dio_read                 | TPASS=1    | Summary=yes | SummaryTotal=1    | Status=PASS         | End=0
dio_sparse               | TPASS=1    | Summary=yes | SummaryTotal=1    | Status=PASS         | End=0
dio_truncate             | TPASS=1    | Summary=yes | SummaryTotal=1    | Status=PASS         | End=0
diotest1                 | TPASS=0    | Summary=no  | SummaryTotal=0    | Status=NO_SUMMARY   | End=0
diotest2                 | TPASS=0    | Summary=no  | SummaryTotal=0    | Status=NO_SUMMARY   | End=0
diotest3                 | TPASS=0    | Summary=no  | SummaryTotal=0    | Status=NO_SUMMARY   | End=0
diotest4                 | TPASS=0    | Summary=no  | SummaryTotal=0    | Status=NO_SUMMARY   | End=0
diotest5                 | TPASS=0    | Summary=no  | SummaryTotal=0    | Status=NO_SUMMARY   | End=0
diotest6                 | TPASS=0    | Summary=no  | SummaryTotal=0    | Status=NO_SUMMARY   | End=0
dirty                    | TPASS=0    | Summary=no  | SummaryTotal=0    | Status=NO_SUMMARY   | End=0
dirtyc0w                 | TPASS=0    | Summary=no  | SummaryTotal=0    | Status=FAIL         | End=32
dirtyc0w_child           | TPASS=0    | Summary=no  | SummaryTotal=0    | Status=FAIL         | End=2
dirtyc0w_shmem           | TPASS=0    | Summary=no  | SummaryTotal=0    | Status=FAIL         | End=32
dirtyc0w_shmem_child     | TPASS=0    | Summary=no  | SummaryTotal=0    | Status=FAIL         | End=2
dirtypipe                | TPASS=1    | Summary=yes | SummaryTotal=1    | Status=PASS         | End=0
dma_thread_diotest       | TPASS=0    | Summary=no  | SummaryTotal=0    | Status=FAIL         | End=32
doio                     | TPASS=0    | Summary=no  | SummaryTotal=0    | Status=TIMEOUT      | End=124
dup01                    | TPASS=2    | Summary=yes | SummaryTotal=2    | Status=PASS         | End=0
dup02                    | TPASS=2    | Summary=yes | SummaryTotal=2    | Status=PASS         | End=0
dup03                    | TPASS=1    | Summary=yes | SummaryTotal=1    | Status=PASS         | End=0
dup04                    | TPASS=2    | Summary=yes | SummaryTotal=2    | Status=PASS         | End=0
dup05                    | TPASS=1    | Summary=yes | SummaryTotal=1    | Status=PASS         | End=0
dup06                    | TPASS=1    | Summary=yes | SummaryTotal=1    | Status=PASS         | End=0
dup07                    | TPASS=3    | Summary=yes | SummaryTotal=3    | Status=PASS         | End=0
dup201                   | TPASS=4    | Summary=yes | SummaryTotal=4    | Status=PASS         | End=0
dup202                   | TPASS=6    | Summary=yes | SummaryTotal=6    | Status=PASS         | End=0
dup203                   | TPASS=4    | Summary=yes | SummaryTotal=4    | Status=PASS         | End=0
dup204                   | TPASS=4    | Summary=yes | SummaryTotal=4    | Status=PASS         | End=0
dup205                   | TPASS=1    | Summary=yes | SummaryTotal=1    | Status=PASS         | End=0
dup206                   | TPASS=1    | Summary=yes | SummaryTotal=1    | Status=PASS         | End=0
dup207                   | TPASS=2    | Summary=yes | SummaryTotal=2    | Status=PASS         | End=0
dup3_01                  | TPASS=2    | Summary=yes | SummaryTotal=2    | Status=PASS         | End=0
dup3_02                  | TPASS=3    | Summary=yes | SummaryTotal=3    | Status=PASS         | End=0
ebizzy                   | TPASS=0    | Summary=no  | SummaryTotal=0    | Status=NO_SUMMARY   | End=0
eject_check_tray         | TPASS=0    | Summary=no  | SummaryTotal=0    | Status=FAIL         | End=255
endian_switch01          | TPASS=0    | Summary=no  | SummaryTotal=0    | Status=FAIL         | End=32
epoll-ltp                | TPASS=0    | Summary=no  | SummaryTotal=0    | Status=TIMEOUT      | End=124
epoll_create01           | TPASS=2    | Summary=yes | SummaryTotal=3    | Status=PASS         | End=0
epoll_create02           | TPASS=2    | Summary=yes | SummaryTotal=3    | Status=PASS         | End=0
epoll_create1_01         | TPASS=2    | Summary=yes | SummaryTotal=2    | Status=PASS         | End=0
epoll_create1_02         | TPASS=2    | Summary=yes | SummaryTotal=2    | Status=PASS         | End=0
epoll_ctl01              | TPASS=3    | Summary=yes | SummaryTotal=3    | Status=PASS         | End=0
epoll_ctl02              | TPASS=9    | Summary=yes | SummaryTotal=9    | Status=PASS         | End=0
epoll_ctl03              | TPASS=256  | Summary=yes | SummaryTotal=256  | Status=PASS         | End=0
epoll_ctl04              | TPASS=1    | Summary=yes | SummaryTotal=1    | Status=PASS         | End=0
epoll_ctl05              | TPASS=1    | Summary=yes | SummaryTotal=1    | Status=PASS         | End=0
epoll_pwait01            | TPASS=2    | Summary=yes | SummaryTotal=3    | Status=PASS         | End=0
epoll_pwait02            | TPASS=1    | Summary=yes | SummaryTotal=2    | Status=PASS         | End=0
epoll_pwait03            | TPASS=7    | Summary=yes | SummaryTotal=8    | Status=PASS         | End=0
epoll_pwait04            | TPASS=1    | Summary=yes | SummaryTotal=2    | Status=PASS         | End=0
epoll_pwait05            | TPASS=0    | Summary=yes | SummaryTotal=1    | Status=FAIL         | End=32
epoll_wait01             | TPASS=3    | Summary=yes | SummaryTotal=3    | Status=PASS         | End=0
epoll_wait02             | TPASS=7    | Summary=yes | SummaryTotal=7    | Status=PASS         | End=0
epoll_wait03             | TPASS=5    | Summary=yes | SummaryTotal=5    | Status=PASS         | End=0
epoll_wait04             | TPASS=1    | Summary=yes | SummaryTotal=1    | Status=PASS         | End=0
epoll_wait05             | TPASS=1    | Summary=yes | SummaryTotal=1    | Status=PASS         | End=0
epoll_wait06             | TPASS=9    | Summary=yes | SummaryTotal=9    | Status=PASS         | End=0
epoll_wait07             | TPASS=5    | Summary=yes | SummaryTotal=5    | Status=PASS         | End=0
event_generator          | TPASS=0    | Summary=no  | SummaryTotal=0    | Status=FAIL         | End=1
eventfd01                | TPASS=4    | Summary=yes | SummaryTotal=4    | Status=PASS         | End=0
eventfd02                | TPASS=5    | Summary=yes | SummaryTotal=5    | Status=PASS         | End=0
eventfd03                | TPASS=3    | Summary=yes | SummaryTotal=3    | Status=PASS         | End=0
eventfd04                | TPASS=3    | Summary=yes | SummaryTotal=3    | Status=PASS         | End=0
eventfd05                | TPASS=2    | Summary=yes | SummaryTotal=2    | Status=PASS         | End=0
eventfd06                | TPASS=0    | Summary=no  | SummaryTotal=0    | Status=FAIL         | End=32
eventfd2_01              | TPASS=2    | Summary=yes | SummaryTotal=2    | Status=PASS         | End=0
eventfd2_02              | TPASS=2    | Summary=yes | SummaryTotal=2    | Status=PASS         | End=0
eventfd2_03              | TPASS=2    | Summary=yes | SummaryTotal=2    | Status=PASS         | End=0
exec_with_inh            | TPASS=0    | Summary=no  | SummaryTotal=0    | Status=FAIL         | End=32
exec_without_inh         | TPASS=0    | Summary=no  | SummaryTotal=0    | Status=FAIL         | End=32
execl01                  | TPASS=0    | Summary=yes | SummaryTotal=1    | Status=FAIL         | End=32
execl01_child            | TPASS=0    | Summary=no  | SummaryTotal=0    | Status=FAIL         | End=2
execle01                 | TPASS=0    | Summary=yes | SummaryTotal=1    | Status=FAIL         | End=32
execle01_child           | TPASS=0    | Summary=no  | SummaryTotal=0    | Status=FAIL         | End=2
execlp01                 | TPASS=0    | Summary=yes | SummaryTotal=2    | Status=FAIL         | End=3
execlp01_child           | TPASS=0    | Summary=no  | SummaryTotal=0    | Status=FAIL         | End=2
execv01                  | TPASS=0    | Summary=yes | SummaryTotal=1    | Status=FAIL         | End=32
execv01_child            | TPASS=0    | Summary=no  | SummaryTotal=0    | Status=FAIL         | End=2
execve01                 | TPASS=0    | Summary=yes | SummaryTotal=1    | Status=FAIL         | End=32
execve01_child           | TPASS=0    | Summary=no  | SummaryTotal=0    | Status=FAIL         | End=2
execve02                 | TPASS=0    | Summary=no  | SummaryTotal=0    | Status=FAIL         | End=32
execve03                 | TPASS=0    | Summary=no  | SummaryTotal=0    | Status=FAIL         | End=32
execve04                 | TPASS=0    | Summary=yes | SummaryTotal=1    | Status=FAIL         | End=2
execve05                 | TPASS=0    | Summary=yes | SummaryTotal=1    | Status=FAIL         | End=2
execve06                 | TPASS=0    | Summary=yes | SummaryTotal=1    | Status=FAIL         | End=32
execve06_child           | TPASS=0    | Summary=no  | SummaryTotal=0    | Status=FAIL         | End=2
execve_child             | TPASS=0    | Summary=no  | SummaryTotal=0    | Status=FAIL         | End=2
execveat01               | TPASS=0    | Summary=yes | SummaryTotal=1    | Status=FAIL         | End=2
execveat02               | TPASS=0    | Summary=yes | SummaryTotal=1    | Status=FAIL         | End=2
execveat03               | TPASS=0    | Summary=no  | SummaryTotal=0    | Status=FAIL         | End=32
